study_id,kikm_uri,variable,variable_label,type
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,STUDYID,Study ID,time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,SUBJID,Subject ID,subject id
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,SITEID,Investigational Site ID,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,SEXN,Sex (numeric),subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,SEX,Sex,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,AGEDAYS,Age since birth at examination (days),time indicator
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,WTKG,Weight (kg),time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,HTCM,Standing height (cm),time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,LENCM,Recumbent length (cm),time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,BMI,BMI (kg/m**2),time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,MUACCM,Mid upper-arm circumference (cm),time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,TSFTMM,Triceps skinfold thickness (mm),time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,WAZ,Weight for age z-score,time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,HAZ,Length/height for age z-score,time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,WHZ,Weight for length/height z-score,time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,BAZ,BMI for age z-score,time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,MUAZ,MUAC for age z-score,time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,TSFTAZ,Tricep SFT for age z-score,time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,CTRYCD,Country of investigative site (code),subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,COUNTRY,Country of investigative site,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,DIARFL,Child had diarrhea on this day,time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,SUMEP,Number of diarrheal episodes,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,SUMDIAR,Number of diarrheal days,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,SUMDAYS,Number of days monitored,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,PCTDIAR,Percent of days with diarrhea,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,HOMEVAL,Home value (local currency),subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,NPERSON,Number of persons in house,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,NCHLDLT5,Number of children <5 in house,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,LVSTOCK,Livestock ownership,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,INCTOT,Total family income,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,BATHFREQ,Bathing frequency,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,HOMESZ,Home size,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,EDUCHH,Highest education head of household,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,EDUCCRGV,Highest education of caregiver,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,OCCUP,Occupation (primary),subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,OCCUP2,Secondary occupation,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,H2OSRCP,Source drinking water,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,H2OTRTP,Method treat drinking water,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,BATHHOME,Bathed in home,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,H2OSRCB,Source of bathing water,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,H2OSRCC,Source of cooking water,subject-level
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,MASS,Total Intake,time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,ENERGY,Total Energy,time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,PROT,Total Protein,time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,FAT,Total Fat,time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,CARB,Total Carbohydrates,time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,FE,Iron,time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,CTENE,Carotene,time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,RETINOL,Retinol,time-varying
Bangladesh Diarrhea,http://debategraph.org/Details.aspx?nid=420700,VITA,Vitamin A,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,SUBJID,Subject ID,subject id
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,AGEDAYS,Age since birth at examination (days),time indicator
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,WTKG,Weight (kg),time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,HTCM,Standing height (cm),time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,BMI,BMI (kg/m**2),time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,WAZ,Weight for age z-score,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,HAZ,Length/height for age z-score,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,WHZ,Weight for length/height z-score,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,BAZ,BMI for age z-score,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,R_WAZ,Weight for age z-score (rpt),time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,R_HAZ,Length/height for age z-score (rpt),time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,R_WHZ,Weight for length/height z-score (rpt),time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,R_BAZ,BMI for age z-score (rpt),time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,SITEID,Investigational Site ID,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,SEXN,Sex (numeric),time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,SEX,Sex,time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,FEEDINGN,Feeding practice (numeric),time-varying
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,FEEDING,Feeding practice,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,MAGE,Maternal age at birth of child (yrs),subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,MHTCM,Maternal height (cm),subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,MWTKG,Maternal weight (kg),subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,MBMI,Maternal BMI (kg/m**2),subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,CTRYCD,Country of investigative site (code),subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,COUNTRY,Country of investigative site,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,LATITUDE,Latitude  (degrees),subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,LONGITUD,Longitude (degrees),subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,BICYCLE,Bicycle,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,CAR,Car,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,CEILFAN,Ceiling fan,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,COOKFUEL,Type of cooking fuel,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,EDUCCRGV,Highest education caregiver,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,ELEC,Electricity,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,FLOOR,Type floor in house,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,FRIG,Refrigerator,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,H2OSRCO,Source water other use,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,H2OSRCP,Source drinking water,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,H2OTRTP,Method treat drinking water,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,LLPHONE,Landline phone,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,MARITAL,Marital status caregiver,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,MCYCLE,Motorcycle,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,MOBILE,Mobile phone,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,RADIO,Radio,subject-level
Bangladesh Rice,http://debategraph.org/Details.aspx?nid=420698,READ,Caregiver read,subject-level
